Id,CourseId,StudentId,Grade,Created,LetterGrade
1,MIS3013,S1988,78.51722281550516,2023-04-23 20:51:00.000000 +00:00,C
2,MIS3013,S1130,87.25482683802389,2023-04-23 20:51:00.000000 +00:00,B
3,MIS3013,S1223,78.83439331131662,2023-04-23 20:51:00.000000 +00:00,C
4,MIS3013,S1074,77.21221007855507,2023-04-23 20:51:00.000000 +00:00,C
5,MIS3013,S1262,92.31732619299135,2023-04-23 20:51:00.000000 +00:00,A
6,MIS3013,S1558,70.1002839423159,2023-04-23 20:51:00.000000 +00:00,C
7,MIS3013,S1922,32.97835320914948,2023-04-23 20:51:00.000000 +00:00,F
8,MIS3013,S1085,79.27423805750861,2023-04-23 20:51:00.000000 +00:00,C
9,MIS3013,S1513,92.5241210831345,2023-04-23 20:51:00.000000 +00:00,A
10,MIS3013,S1702,98.37414485352878,2023-04-23 20:51:00.000000 +00:00,A
11,MIS3013,S1416,95.10816279250915,2023-04-23 20:51:00.000000 +00:00,A
12,MIS3013,S1833,56.53495310747054,2023-04-23 20:51:00.000000 +00:00,F
13,MIS3013,S1898,85.95883094691524,2023-04-23 20:51:00.000000 +00:00,B
14,MIS3013,S1084,82.53260339792725,2023-04-23 20:51:00.000000 +00:00,B
15,MIS3013,S1286,26.21011712599811,2023-04-23 20:51:00.000000 +00:00,F
16,MIS3013,S1563,78.66179092058609,2023-04-23 20:51:00.000000 +00:00,C
17,MIS3013,S1385,69.10607272468624,2023-04-23 20:51:00.000000 +00:00,D
18,MIS3013,S1959,49.39090728023041,2023-04-23 20:51:00.000000 +00:00,F
19,MIS3013,S1387,92.78959379664178,2023-04-23 20:51:00.000000 +00:00,A
20,MIS3013,S1453,81.28667244928731,2023-04-23 20:51:00.000000 +00:00,B
21,MIS3013,S1233,83.26212983463148,2023-04-23 20:51:00.000000 +00:00,B
22,MIS3013,S1805,93.92319529726363,2023-04-23 20:51:00.000000 +00:00,A
23,MIS3013,S1121,51.82852322231619,2023-04-23 20:51:00.000000 +00:00,F
24,MIS3013,S1483,82.14803461525725,2023-04-23 20:51:00.000000 +00:00,B
25,MIS3013,S1834,85.48987647034059,2023-04-23 20:51:00.000000 +00:00,B
26,MIS3013,S1285,78.91353639952018,2023-04-23 20:51:00.000000 +00:00,C
27,MIS3013,S1617,88.58471666947665,2023-04-23 20:51:00.000000 +00:00,B
28,MIS3013,S1789,64.42685930808442,2023-04-23 20:51:00.000000 +00:00,D
29,MIS3013,S1560,53.10672230530067,2023-04-23 20:51:00.000000 +00:00,F
30,MIS3013,S1916,74.45587680167817,2023-04-23 20:51:00.000000 +00:00,C
31,MIS3013,S1119,88.96294554839164,2023-04-23 20:51:00.000000 +00:00,B
32,MIS3013,S1653,95.4990160420269,2023-04-23 20:51:00.000000 +00:00,A
33,MIS3013,S1408,79.38016956681479,2023-04-23 20:51:00.000000 +00:00,C
34,MIS3013,S1521,92.56650076934021,2023-04-23 20:51:00.000000 +00:00,A
35,MIS3013,S1393,72.59466254830801,2023-04-23 20:51:00.000000 +00:00,C
